"Medicine name","EML section","Formulations","Indication","Combined with","Status","atc_classification"
"metformin","Oral hypoglycaemic agents","Oral > Solid: 500 mg (hydrochloride)","Type 2 diabetes mellitus","","Added","A10BA02"
"methadone","Medicines for opioid use disorders","Oral > Liquid: 5 mg per 5 mL (methadone hydrochloride); 10 mg per 5 mL (methadone hydrochloride); 5 mg per  mL concentrate for oral liquid (methadone hydrochloride); 10 mg per  mL concentrate for oral liquid (methadone hydrochloride)","Opioid dependence","","Added","N07BC02"
"methadone","Opioid analgesics","Oral > Liquid: 5 mg per 5 mL (methadone hydrochloride); 10 mg per 5 mL (methadone hydrochloride); 5 mg per  mL concentrate for oral liquid (methadone hydrochloride); 10 mg per  mL concentrate for oral liquid (methadone hydrochloride)
Oral > Solid: 5 mg (methadone hydrochloride); 10 mg (methadone hydrochloride)","Chronic cancer pain","","Added","N07BC02"
"methimazole","Thyroid hormones and antithyroid medicines","Oral > Solid: 5 mg; 10 mg; 20 mg","Thyrotoxicosis","","Added","H03BB02"
"methionine","Antidotes and other substances used in poisonings > Specific","Oral > Solid: 250 mg (DL)","Exposure to or harmful effects of undetermined intent of analgesics, antipyretics or nonsteroidal anti-inflammatory drugs","","Removed","V03AB26"
"methotrexate","Cytotoxic medicines","Parenteral > General injections > IV: 50 mg in vial (as sodium salt)
Oral > Solid: 2.5 mg (as sodium salt)
Parenteral > General injections > IV: 50 mg in vial (as sodium salt); 50 mg per 2 mL; 1000 mg per 10 mL concentrated injection","Unspecified malignant neoplasms of ill-defined or unspecified sites","","Removed","L01BA01"
"methotrexate","Cytotoxic medicines","Parenteral > General injections > IV: 50 mg in vial (as sodium salt)
Oral > Solid: 2.5 mg (as sodium salt)
Parenteral > General injections > IV: 50 mg in vial (as sodium salt); 50 mg per 2 mL; 1000 mg per 10 mL concentrated injection","Lymphoid leukaemia, not elsewhere classified","","Added","L01BA01"
"methotrexate","Cytotoxic medicines","Parenteral > General injections > IV: 50 mg in vial (as sodium salt)
Oral > Solid: 2.5 mg (as sodium salt)
Parenteral > General injections > IV: 50 mg in vial (as sodium salt); 50 mg per 2 mL; 1000 mg per 10 mL concentrated injection","Acute myeloid leukaemia with recurrent genetic abnormalities","","Added","L01BA01"
"methotrexate","Cytotoxic medicines","Parenteral > General injections > IV: 50 mg in vial (as sodium salt)
Oral > Solid: 2.5 mg (as sodium salt)
Parenteral > General injections > IV: 50 mg in vial (as sodium salt); 50 mg per 2 mL; 1000 mg per 10 mL concentrated injection","Malignant trophoblastic neoplasms of placenta","","Added","L01BA01"
"methotrexate","Cytotoxic medicines","Parenteral > General injections > IV: 50 mg in vial (as sodium salt)
Oral > Solid: 2.5 mg (as sodium salt)
Parenteral > General injections > IV: 50 mg in vial (as sodium salt); 50 mg per 2 mL; 1000 mg per 10 mL concentrated injection","Burkitt lymphoma including Burkitt leukaemia","","Added","L01BA01"
"methotrexate","Cytotoxic medicines","Parenteral > General injections > IV: 50 mg in vial (as sodium salt)
Oral > Solid: 2.5 mg (as sodium salt)
Parenteral > General injections > IV: 50 mg in vial (as sodium salt); 50 mg per 2 mL; 1000 mg per 10 mL concentrated injection","Malignant neoplasms of breast","","Added","L01BA01"
"methotrexate","Cytotoxic medicines","Parenteral > General injections > IV: 50 mg in vial (as sodium salt)
Oral > Solid: 2.5 mg (as sodium salt)
Parenteral > General injections > IV: 50 mg in vial (as sodium salt); 50 mg per 2 mL; 1000 mg per 10 mL concentrated injection","Osteosarcoma of bone and articular cartilage of unspecified sites","","Added","L01BA01"
"methotrexate","Cytotoxic medicines","Parenteral > General injections > IV: 50 mg in vial (as sodium salt)
Oral > Solid: 2.5 mg (as sodium salt)
Parenteral > General injections > IV: 50 mg in vial (as sodium salt); 50 mg per 2 mL; 1000 mg per 10 mL concentrated injection","Anaplastic large cell lymphoma, ALK-negative","","Added","L01BA01"
"methotrexate","Cytotoxic medicines","Parenteral > General injections > IV: 50 mg in vial (as sodium salt)
Oral > Solid: 2.5 mg (as sodium salt)
Parenteral > General injections > IV: 50 mg in vial (as sodium salt); 50 mg per 2 mL; 1000 mg per 10 mL concentrated injection","Anaplastic large cell lymphoma, ALK-positive","","Added","L01BA01"
"methotrexate","Cytotoxic medicines","Parenteral > General injections > IV: 50 mg in vial (as sodium salt)
Oral > Solid: 2.5 mg (as sodium salt)
Parenteral > General injections > IV: 50 mg in vial (as sodium salt); 50 mg per 2 mL; 1000 mg per 10 mL concentrated injection","Langerhans cell histiocytosis","","Added","L01BA01"
"methotrexate","Dermatological medicines > Medicines affecting skin differentiation and proliferation","Oral > Solid > tablet: 2.5 mg (as sodium salt); 10 mg (as sodium salt)","Psoriasis of unspecified type","","Added","L04AX03"
"methotrexate","Disease-modifying anti-rheumatic drugs (DMARDs)","Oral > Solid > tablet: 2.5 mg (as sodium salt)","Rheumatoid arthritis, serology unspecified","","Added","L04AX03"
"methotrexate","Immunomodulators for non-malignant disease","Parenteral > General injections > SC: pre-filled syringe in multiple strengths","Crohn disease site","","Removed","L04AX03"
"methotrexate","Immunomodulators for non-malignant disease","Parenteral > General injections > SC: pre-filled syringe in multiple strengths","Psoriatic arthritis","","Removed","L04AX03"
"methotrexate","Medicines for juvenile joint diseases","Oral > Solid > tablet: 2.5 mg (as sodium salt)","Juvenile idiopathic arthritis","","Added","L04AX03"
"methoxy polyethylene glycol-epoetin beta","Antianaemia medicines","","Anaemia due to chronic disease","","Added","nan"
"methyldopa","Antihypertensive medicines","Oral > Solid: 250 mg","Essential hypertension","","Removed","C02AB01"
"methyldopa","Antihypertensive medicines","Oral > Solid: 250 mg","Gestational hypertension","","Added","C02AB01"
"methylergometrine","Uterotonics","","Postpartum haemorrhage","","Added","nan"
"methylphenidate","Medicines for mental and behavioural disorders","Multiple formulations and strengths.","Attention deficit hyperactivity disorder","","Removed","N06BA04"
"methylprednisolone","Hormones and antihormones","Parenteral > General injections > IV: 40 mg per  mL in 1 mL single-dose vial (as sodium succinate); 40 mg per  mL in 5 mL multi-dose vial (as sodium succinate); 80 mg per  mL in 1 mL single-dose vial (as sodium succinate)","Lymphoid leukaemia, not elsewhere classified","","Added","H02AB04"
"methylprednisolone","Hormones and antihormones","Parenteral > General injections > IV: 40 mg per  mL in 1 mL single-dose vial (as sodium succinate); 40 mg per  mL in 5 mL multi-dose vial (as sodium succinate); 80 mg per  mL in 1 mL single-dose vial (as sodium succinate)","Burkitt lymphoma including Burkitt leukaemia","","Added","H02AB04"
"methylthioninium chloride","Antidotes and other substances used in poisonings > Specific","Parenteral > General injections > IV: 10 mg per  mL in 10 mL ampoule","Acquired methaemoglobinaemia","","Added","V03AB17"
"metoclopramide","Medicines for other common symptoms in palliative care","Oral > Liquid: 5 mg per 5 mL
Oral > Solid: 10 mg (hydrochloride)
Parenteral > General injections > unspecified: 5 mg per  mL in 2 mL ampoule (hydrochloride)","Palliative care","","Added","A03FA01"
"metoclopramide","Antiemetic medicines","Oral > Liquid: 5 mg per 5 mL
Oral > Solid: 10 mg (hydrochloride)
Parenteral > General injections > unspecified: 5 mg per  mL in 2 mL ampoule (hydrochloride)","Nausea or vomiting","","Added","A03FA01"
"metoprolol","Antianginal medicines","","Angina pectoris","","Added","nan"
"metoprolol","Medicines used in heart failure","","Heart failure","","Added","nan"
"metoprolol","Antihypertensive medicines","","Essential hypertension","","Added","nan"
"metoprolol","Antiarrhythmic medicines","","Cardiac arrhythmia","","Added","nan"
"metronidazole","Access group antibiotics","Oral > Liquid: 200 mg per 5 mL (as benzoate)
Oral > Solid: 200 to 500 mg tablet
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial Injection
Local > Rectal > Suppository: 500 mg suppository; 1 g suppository","Peritonitis (mild-moderate)","cefotaxime","Added","A01AB17"
"metronidazole","Access group antibiotics","Oral > Liquid: 200 mg per 5 mL (as benzoate)
Oral > Solid: 200 to 500 mg tablet
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial Injection
Local > Rectal > Suppository: 500 mg suppository; 1 g suppository","Peritonitis (severe)","cefotaxime","Added","A01AB17"
"metronidazole","Access group antibiotics","Oral > Liquid: 200 mg per 5 mL (as benzoate)
Oral > Solid: 200 to 500 mg tablet
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial Injection
Local > Rectal > Suppository: 500 mg suppository; 1 g suppository","Peritonitis (mild-moderate)","ceftriaxone","Added","A01AB17"
"metronidazole","Access group antibiotics","Oral > Liquid: 200 mg per 5 mL (as benzoate)
Oral > Solid: 200 to 500 mg tablet
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial Injection
Local > Rectal > Suppository: 500 mg suppository; 1 g suppository","Peritonitis (severe)","ceftriaxone","Added","A01AB17"
"metronidazole","Access group antibiotics","Oral > Liquid: 200 mg per 5 mL (as benzoate)
Oral > Solid: 200 to 500 mg tablet
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial Injection
Local > Rectal > Suppository: 500 mg suppository; 1 g suppository","Peritoneal abscess (mild-moderate)","cefotaxime","Added","A01AB17"
"metronidazole","Access group antibiotics","Oral > Liquid: 200 mg per 5 mL (as benzoate)
Oral > Solid: 200 to 500 mg tablet
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial Injection
Local > Rectal > Suppository: 500 mg suppository; 1 g suppository","Peritoneal abscess (severe)","cefotaxime","Added","A01AB17"
"metronidazole","Access group antibiotics","Oral > Liquid: 200 mg per 5 mL (as benzoate)
Oral > Solid: 200 to 500 mg tablet
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial Injection
Local > Rectal > Suppository: 500 mg suppository; 1 g suppository","Peritoneal abscess (mild-moderate)","ceftriaxone","Added","A01AB17"
"metronidazole","Access group antibiotics","Oral > Liquid: 200 mg per 5 mL (as benzoate)
Oral > Solid: 200 to 500 mg tablet
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial Injection
Local > Rectal > Suppository: 500 mg suppository; 1 g suppository","Peritoneal abscess (severe)","ceftriaxone","Added","A01AB17"
"metronidazole","Access group antibiotics","Oral > Liquid: 200 mg per 5 mL (as benzoate)
Oral > Solid: 200 to 500 mg tablet
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial Injection
Local > Rectal > Suppository: 500 mg suppository; 1 g suppository","Other specified prophylactic measures","cefazolin","Added","A01AB17"
"metronidazole","Access group antibiotics","Oral > Liquid: 200 mg per 5 mL (as benzoate)
Oral > Solid: 200 to 500 mg tablet
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial Injection
Local > Rectal > Suppository: 500 mg suppository; 1 g suppository","Peritonitis (mild-moderate)","ciprofloxacin","Added","A01AB17"
"metronidazole","Access group antibiotics","Oral > Liquid: 200 mg per 5 mL (as benzoate)
Oral > Solid: 200 to 500 mg tablet
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial Injection
Local > Rectal > Suppository: 500 mg suppository; 1 g suppository","Peritoneal abscess (mild-moderate)","ciprofloxacin","Added","A01AB17"
"metronidazole","Access group antibiotics","Oral > Liquid: 200 mg per 5 mL (as benzoate)
Oral > Solid: 200 to 500 mg tablet
Parenteral > General injections > unspecified: 500 mg per 100 mL in vial Injection
Local > Rectal > Suppository: 500 mg suppository; 1 g suppository","Bacterial infection of unspecified site","","Removed","A01AB17"
"metronidazole","Antiamoebic and antigiardiasis medicines","Oral > Liquid: 200 mg per 5 mL (as benzoate)
Parenteral > General injections > unspecified: 500 mg in 100 mL vial
Oral > Solid > tablet: 200 mg; 250 mg; 400 mg; 500 mg","Amoebiasis","","Added","P01AB01"
"micafungin","Antifungal medicines","Parenteral > General injections > IV: 50 mg in vial (as sodium) powder for injection; 100 mg in vial (as sodium) powder for injection","Systemic or invasive candidosis","","Added","J02AX05"
"miconazole","Dermatological medicines > Antifungal medicines","Local > Topical > Cream: 2% (nitrate)
Local > Topical > Ointment: 2% (nitrate)","Fungal infection of the skin","","Added","D01AC02"
"midazolam","Medicines for other common symptoms in palliative care","Oral > Liquid: 2 mg per  mL oral liquid
Oral > Solid: 7.5 mg solid oral dosage form; 15 mg solid oral dosage form
Parenteral > General injections > unspecified: 1 mg per  mL injection; 5 mg per  mL injection","Palliative care","","Added","N05CD08"
"midazolam","Antiseizure medicines","
Parenteral > General injections > unspecified: 1 mg per  mL in 5 mL vial (for buccal administration); 5 mg per  mL in 1 mL vial (for buccal administration); 5 mg per  mL in 3 mL vial (for buccal administration)
Local > Buccal > Solution: 5 mg per  mL in 0.5 mL pre-filled syringe (for oromucosal administration); 5 mg per  mL in 1 mL pre-filled syringe (for oromucosal administration); 5 mg per  mL in 1.5 mL pre-filled syringe (for oromucosal administration); 5 mg per  mL in 2 mL pre-filled syringe (for oromucosal administration); 10 mg per  mL in 0.25 mL pre-filled syringe (for oromucosal administration); 10 mg per  mL in 0.5 mL pre-filled syringe (for oromucosal administration); 10 mg per  mL in 0.75 mL pre-filled syringe; 10 mg per  mL in 1 mL pre-filled syringe (for oromucosal administration)","Status epilepticus","","Added","nan"
"midazolam","Antiseizure medicines","
Parenteral > General injections > unspecified: 1 mg per  mL in 5 mL vial (for buccal administration); 5 mg per  mL in 1 mL vial (for buccal administration); 5 mg per  mL in 3 mL vial (for buccal administration)
Local > Buccal > Solution: 5 mg per  mL in 0.5 mL pre-filled syringe (for oromucosal administration); 5 mg per  mL in 1 mL pre-filled syringe (for oromucosal administration); 5 mg per  mL in 1.5 mL pre-filled syringe (for oromucosal administration); 5 mg per  mL in 2 mL pre-filled syringe (for oromucosal administration); 10 mg per  mL in 0.25 mL pre-filled syringe (for oromucosal administration); 10 mg per  mL in 0.5 mL pre-filled syringe (for oromucosal administration); 10 mg per  mL in 0.75 mL pre-filled syringe; 10 mg per  mL in 1 mL pre-filled syringe (for oromucosal administration)","Status epilepticus","","Added","N05CD08"
"midazolam","Preoperative medication and sedation for short-term procedures","Parenteral > General injections > IV: 1 mg per  mL
Oral > Liquid: 2 mg per  mL
Oral > Solid: 15 mg  tablet; 7.5 mg tablet","Sedative-hypnotic and anxiolytic drugs","","Added","N05CD08"
